Article_Title,Year,Description,Revue,Volume,Number,Pages
On the onset of non-linearity for diffusion models of binary mixtures of biological materials by asymptotic analysis,2006,"International Journal of Non-Linear Mechanics 41 (2), 281-293, 2006",International Journal of Non-Linear Mechanics,41,2,281293
From kinetic models of multicellular growing systems to macroscopic biological tissue models,2011,"Nonlinear Analysis: Real World Applications 12 (2), 1111-1122, 2011",Nonlinear Analysis: Real World Applications,12,2,11111122
From a class of kinetic models to the macroscopic equations for multicellular systems in biology,2004,"DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS SERIES B 4 (1), 59-80, 2004",DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS SERIES B,4,1,5980
The south-western branch of the Variscan Belt: evidence from Morocco,2010,"Tectonophysics 492 (1-4), 1-24, 2010",Tectonophysics,492,14,124
The pan-african belt,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
The moroccan hercynides,2005,"Journal of African Earth Sciences 43 (1-3), 144-165, 2005",Journal of African Earth Sciences,43,13,144165
The variscan belt,2008,"Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …, 2008","Continental Evolution: The Geology of Morocco: Structure, Stratigraphy, and …,",,,
Tectonics of the anti-Atlas of Morocco,2006,"Comptes Rendus Geoscience 338 (1-2), 11-24, 2006",Comptes Rendus Geoscience,338,12,1124
"The 1750 Ma magmatic event of the west African craton (Anti-Atlas, Morocco)",2013,"Precambrian Research 236, 106-123, 2013",Precambrian Research,236,,106123
L’extension continentale au Néo-Protérozoïque supérieur-Cambrien inférieur dans l’Anti-Atlas (Maroc),2003,"Bull. Soc. géol. France 174 (1), 83-92, 2003",Bull. Soc. géol. France,174,1,8392
"A reconsideration of Pan African orogenic cycle in the Anti-Atlas Mountains, Morocco",2014,"Journal of African Earth Sciences 98, 34-46, 2014",Journal of African Earth Sciences,98,,3446
"U–Pb baddeleyite and zircon ages of 2040 Ma, 1650 Ma and 885 Ma on dolerites in the West African Craton (Anti-Atlas inliers): possible links to break-up of Precambrian …",2013,"Lithos 174, 71-84, 2013",Lithos,174,,7184
Geochronological constraints on the polycyclic magmatism in the Bou Azzer-El Graara inlier (central Anti-Atlas Morocco),2014,"Journal of African Earth Sciences 99, 287-306, 2014",Journal of African Earth Sciences,99,,287306
