Article_Title,Year,Description,Revue,Volume,Number,Pages
Microstructural characterisation and physical properties of cured thermally activated clay-lime blends,2012,"Construction and Building Materials 26 (1), 226-232, 2012",Construction and Building Materials,26,1,226232
Microstructural characterization and influence of manufacturing parameters on technological properties of vitreous ceramic materials,2010,"Materials characterization 61 (3), 289-295, 2010",Materials characterization,61,3,289295
Experimental and theoretical study of a humidification-dehumidification water desalination system using solar energy,2004,"Desalination 168, 151-159, 2004",Desalination,168,,151159
Experimental and numerical study of an earth-to-air heat exchanger for air cooling in a residential building in hot semi-arid climate,2016,"Energy and Buildings 125, 109-121, 2016",Energy and Buildings,125,,109121
Thermomechanical characterization of a bio-composite building material: Mortar reinforced with date palm fibers mesh,2017,"Construction and Building Materials 135, 241-250, 2017",Construction and Building Materials,135,,241250
Laminar mixed convection of humid air in a vertical channel with evaporation or condensation at the wall,2004,"International Journal of Thermal Sciences 43 (6), 531-539, 2004",International Journal of Thermal Sciences,43,6,531539
Moisture content influence on the thermal conductivity of insulating building materials made from date palm fibers mesh,2017,"Construction and Building Materials 148, 811-823, 2017",Construction and Building Materials,148,,811823
Buoyancy effects on upward and downward laminar mixed convection heat and mass transfer in a vertical channel,2007,"International Journal of Numerical Methods for Heat & Fluid Flow, 2007","International Journal of Numerical Methods for Heat & Fluid Flow,",,,
Experimental and numerical study of mixed convection heat and mass transfer in a vertical channel with film evaporation,2011,"International Journal of Thermal Sciences 50 (6), 942-953, 2011",International Journal of Thermal Sciences,50,6,942953
Thermal performance assessment of passive techniques integrated into a residential building in semi-arid climate,2017,"Energy and Buildings 143, 1-16, 2017",Energy and Buildings,143,,116
Stability and thermal conductivity enhancement of aqueous nanofluid based on surfactant-modified TiO2,2019,"Journal of Dispersion Science and Technology, 2019","Journal of Dispersion Science and Technology,",,,
Preparation and characterization of nano‐enhanced myristic acid using metal oxide nanoparticles for thermal energy storage,2019,"International journal of energy research 43 (14), 8592-8607, 2019",International journal of energy research,43,14,85928607
Energy performances of a passive building in Marrakech: parametric study,2013,"Energy procedia 42, 624-632, 2013",Energy procedia,42,,624632
Experimental assessment of thermal performance of three passive cooling techniques for roofs in a semi-arid climate,2018,"Energy and Buildings 164, 153-164, 2018",Energy and Buildings,164,,153164
Flow reversal in combined laminar mixed convection heat and mass transfer with phase change in a vertical channel,2010,"International journal of heat and fluid flow 31 (4), 711-721, 2010",International journal of heat and fluid flow,31,4,711721
Thermal characterization of a Tunisian gypsum plaster as construction material,2013,"Energy Procedia 42, 680-688, 2013",Energy Procedia,42,,680688
Thermal behavior and energy saving analysis of a flat with different energy efficiency measures in six climates,2018,"Building Simulation 11 (6), 1123-1144, 2018",Building Simulation,11,6,11231144
A numerical study of the longitudinal thermoconvective rolls in a mixed convection flow in a horizontal channel with a free surface,2013,"International journal of heat and fluid flow 42, 265-277, 2013",International journal of heat and fluid flow,42,,265277
Mixed Convection Heat and Mass Transfer with Phase Change and Flow Reversal in Channels,2011,"Chap. in Book ""Mass transfer in multiphase systems and its applications …, 2011","Chap. in Book ""Mass transfer in multiphase systems and its applications …,",,,
Combined buoyancy effects of thermal and mass diffusion on laminar convection in a vertical isothermal channel,2010,"Computational Thermal Sciences: An International Journal 2 (2), 2010",Computational Thermal Sciences: An International Journal,2,2,
